retraction,rank,lmbda,routine,best_rmse,mean_rmse,failures,successes,beta,sigma,initial_step,final_wlra_loss,best_source
polar,32,1e-06,armijo_feasible_direction,0.2890716791152954,0.2909393736294338,6,21,0.75,0.5,0.3,1955408.5,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_067.json
polar,32,1e-06,armijo_projection_arc,0.28958243131637573,0.2913567338671003,6,21,0.75,0.25,0.5,1956458.5,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_065.json
polar,32,1e-06,armijo_wlra_reg,0.2890716791152954,0.2909393736294338,6,21,0.75,0.5,0.3,1955408.5,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_067.json
polar,32,0.0001,armijo_feasible_direction,0.2890716791152954,0.2909393736294338,6,21,0.75,0.5,0.3,1955408.5,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_040.json
polar,32,0.0001,armijo_projection_arc,0.28958243131637573,0.2913567338671003,6,21,0.75,0.25,0.5,1956458.5,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_038.json
polar,32,0.0001,armijo_wlra_reg,0.2896120846271515,0.29102352545374915,6,21,0.75,0.5,0.3,1956514.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_040.json
polar,32,0.01,armijo_feasible_direction,0.2890716791152954,0.2909393736294338,6,21,0.75,0.5,0.3,1955408.5,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_013.json
polar,32,0.01,armijo_projection_arc,0.28958243131637573,0.2913567338671003,6,21,0.75,0.25,0.5,1956458.5,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_011.json
polar,32,0.01,armijo_wlra_reg,0.2888124883174896,0.291075967607044,6,21,0.75,0.5,0.3,1954919.125,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_013.json
polar,64,1e-06,armijo_feasible_direction,0.29954367876052856,0.3022181405907586,6,21,0.75,0.5,1.0,1822249.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_150.json
polar,64,1e-06,armijo_projection_arc,0.3005572557449341,0.30254133400462924,6,21,0.75,0.5,1.0,1825465.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_150.json
polar,64,1e-06,armijo_wlra_reg,0.30013152956962585,0.30233014339492437,6,21,0.75,0.5,1.0,1824056.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_150.json
polar,64,0.0001,armijo_feasible_direction,0.29954367876052856,0.3022181405907586,6,21,0.75,0.5,1.0,1822249.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_123.json
polar,64,0.0001,armijo_projection_arc,0.3005572557449341,0.30254133400462924,6,21,0.75,0.5,1.0,1825465.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_123.json
polar,64,0.0001,armijo_wlra_reg,0.2996729016304016,0.30211650899478365,6,21,0.75,0.5,1.0,1822630.0,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_123.json
polar,64,0.01,armijo_feasible_direction,0.29954367876052856,0.3022181405907586,6,21,0.75,0.5,1.0,1822249.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_096.json
polar,64,0.01,armijo_projection_arc,0.3005572557449341,0.30254133400462924,6,21,0.75,0.5,1.0,1825465.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_096.json
polar,64,0.01,armijo_wlra_reg,0.29968079924583435,0.3021851054259709,6,21,0.75,0.5,1.0,1822786.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_096.json
polar,128,1e-06,armijo_feasible_direction,0.3305966556072235,0.3323542887256259,6,21,0.75,0.5,0.3,1610249.125,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_229.json
polar,128,1e-06,armijo_projection_arc,0.3308463990688324,0.33252173236438204,6,21,0.75,0.5,0.3,1613392.125,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_229.json
polar,128,1e-06,armijo_wlra_reg,0.33016514778137207,0.3323153853416443,6,21,0.75,0.5,0.3,1605129.625,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_229.json
polar,128,0.0001,armijo_feasible_direction,0.3305966556072235,0.3323542887256259,6,21,0.75,0.5,0.3,1610249.125,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_202.json
polar,128,0.0001,armijo_projection_arc,0.3308463990688324,0.33252173236438204,6,21,0.75,0.5,0.3,1613392.125,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_202.json
polar,128,0.0001,armijo_wlra_reg,0.3292251229286194,0.33235435542606173,6,21,0.75,0.5,0.3,1597086.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_202.json
polar,128,0.01,armijo_feasible_direction,0.3305966556072235,0.3323542887256259,6,21,0.75,0.5,0.3,1610249.125,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_feasible_direction/feasible_direction/polar/feasible_direction_polar_175.json
polar,128,0.01,armijo_projection_arc,0.3308463990688324,0.33252173236438204,6,21,0.75,0.5,0.3,1613392.125,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_projection_arc/projection_arc/polar/projection_arc_polar_175.json
polar,128,0.01,armijo_wlra_reg,0.3310264050960541,0.3324230256534758,6,21,0.75,0.5,1.0,1613878.0,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_polar_regularized/regularized/polar/regularized_polar_177.json
qr,32,1e-06,armijo_feasible_direction,0.2873324751853943,0.28892454275718105,1,26,0.9,0.5,1.0,1951636.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_078.json
qr,32,1e-06,armijo_projection_arc,0.2873728573322296,0.2889759075641632,2,25,0.9,0.5,1.0,1951794.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_078.json
qr,32,1e-06,armijo_wlra_reg,0.2873324751853943,0.2889658510684967,2,25,0.9,0.5,1.0,1951636.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_078.json
qr,32,0.0001,armijo_feasible_direction,0.2873324751853943,0.28892454275718105,1,26,0.9,0.5,1.0,1951636.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_051.json
qr,32,0.0001,armijo_projection_arc,0.2873728573322296,0.2889759075641632,2,25,0.9,0.5,1.0,1951794.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_051.json
qr,32,0.0001,armijo_wlra_reg,0.2873554527759552,0.2891000068706015,4,23,0.9,0.5,1.0,1951728.875,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_051.json
qr,32,0.01,armijo_feasible_direction,0.2873324751853943,0.28892454275718105,1,26,0.9,0.5,1.0,1951636.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_024.json
qr,32,0.01,armijo_projection_arc,0.2873728573322296,0.2889759075641632,2,25,0.9,0.5,1.0,1951794.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_024.json
qr,32,0.01,armijo_wlra_reg,0.2875767648220062,0.2891055993411852,4,23,0.75,0.5,0.5,1952589.0,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_014.json
qr,64,1e-06,armijo_feasible_direction,0.2966669499874115,0.2995422449376848,0,27,0.75,0.5,0.5,1814747.0,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_149.json
qr,64,1e-06,armijo_projection_arc,0.29663026332855225,0.2995419502258301,0,27,0.9,0.75,1.0,1814759.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_162.json
qr,64,1e-06,armijo_wlra_reg,0.2965838611125946,0.29953542682859635,0,27,0.75,0.5,0.5,1814599.125,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_149.json
qr,64,0.0001,armijo_feasible_direction,0.2966669499874115,0.2995422449376848,0,27,0.75,0.5,0.5,1814747.0,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_122.json
qr,64,0.0001,armijo_projection_arc,0.29663026332855225,0.2995419502258301,0,27,0.9,0.75,1.0,1814759.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_135.json
qr,64,0.0001,armijo_wlra_reg,0.29663750529289246,0.2995184074949335,0,27,0.75,0.5,0.5,1814667.0,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_122.json
qr,64,0.01,armijo_feasible_direction,0.2966669499874115,0.2995422449376848,0,27,0.75,0.5,0.5,1814747.0,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_095.json
qr,64,0.01,armijo_projection_arc,0.29663026332855225,0.2995419502258301,0,27,0.9,0.75,1.0,1814759.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_108.json
qr,64,0.01,armijo_wlra_reg,0.2967718243598938,0.29965384075274837,1,26,0.75,0.5,0.5,1815057.625,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_095.json
qr,128,1e-06,armijo_feasible_direction,0.32876160740852356,0.3304710432335182,0,27,0.9,0.75,0.5,1591860.375,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_242.json
qr,128,1e-06,armijo_projection_arc,0.32871854305267334,0.33049360911051434,0,27,0.9,0.75,0.3,1591195.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_241.json
qr,128,1e-06,armijo_wlra_reg,0.328884482383728,0.3304908076922099,0,27,0.9,0.75,0.3,1592816.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_241.json
qr,128,0.0001,armijo_feasible_direction,0.32876160740852356,0.3304710432335182,0,27,0.9,0.75,0.5,1591860.375,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_215.json
qr,128,0.0001,armijo_projection_arc,0.32871854305267334,0.33049360911051434,0,27,0.9,0.75,0.3,1591195.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_214.json
qr,128,0.0001,armijo_wlra_reg,0.32845214009284973,0.33048035038842094,0,27,0.9,0.75,0.5,1590099.0,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_215.json
qr,128,0.01,armijo_feasible_direction,0.32876160740852356,0.3304710432335182,0,27,0.9,0.75,0.5,1591860.375,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_feasible_direction/feasible_direction/qr/feasible_direction_qr_188.json
qr,128,0.01,armijo_projection_arc,0.32871854305267334,0.33049360911051434,0,27,0.9,0.75,0.3,1591195.75,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_projection_arc/projection_arc/qr/projection_arc_qr_187.json
qr,128,0.01,armijo_wlra_reg,0.32887643575668335,0.33050737667966773,0,27,0.9,0.75,0.5,1592811.25,results/raws/armijo/cifar10gray50000_fulltrain_mask050_20260812_qr_regularized/regularized/qr/regularized_qr_188.json
